team,season,state,next_state,count,adjustment_type,poss_per_game
LAC,2024-25,LAC DREB,LAC Offense Start,3072.0,2PT FG% +2%,98.8
LAC,2024-25,OPP DREB,OPP Offense Start,2915.0,2PT FG% +2%,98.8
LAC,2024-25,OPP Offense Start,LAC DREB,2469.0,2PT FG% +2%,98.8
LAC,2024-25,LAC Offense Start,OPP DREB,2315.61,2PT FG% +2%,98.8
LAC,2024-25,LAC 2pt Made,OPP Offense Start,2295.0,2PT FG% +2%,98.8
LAC,2024-25,OPP 2pt Made,LAC Offense Start,2058.0,2PT FG% +2%,98.8
LAC,2024-25,LAC Offense Start,LAC 2pt Made,2045.54,2PT FG% +2%,98.8
LAC,2024-25,OPP Offense Start,OPP 2pt Made,1897.0,2PT FG% +2%,98.8
LAC,2024-25,LAC Turnover,OPP Offense Start,1181.0,2PT FG% +2%,98.8
LAC,2024-25,OPP Turnover,LAC Offense Start,1180.0,2PT FG% +2%,98.8
LAC,2024-25,OPP Offense Start,OPP Turnover,1091.0,2PT FG% +2%,98.8
LAC,2024-25,LAC Offense Start,LAC Turnover,1087.0,2PT FG% +2%,98.8
LAC,2024-25,OPP 3pt Made,LAC Offense Start,1054.0,2PT FG% +2%,98.8
LAC,2024-25,LAC 3pt Made,OPP Offense Start,1007.0,2PT FG% +2%,98.8
LAC,2024-25,OPP Offense Start,OPP 3pt Made,945.0,2PT FG% +2%,98.8
LAC,2024-25,LAC Offense Start,LAC 3pt Made,927.0,2PT FG% +2%,98.8
LAC,2024-25,LAC Offense Start,LAC OREB,787.85,2PT FG% +2%,98.8
LAC,2024-25,OPP Offense Start,OPP OREB,783.0,2PT FG% +2%,98.8
LAC,2024-25,LAC FT Made,OPP Offense Start,737.0,2PT FG% +2%,98.8
LAC,2024-25,OPP FT Made,LAC Offense Start,717.0,2PT FG% +2%,98.8
LAC,2024-25,LAC Offense Start,LAC FT Made,662.0,2PT FG% +2%,98.8
LAC,2024-25,OPP Offense Start,OPP FT Made,650.0,2PT FG% +2%,98.8
LAC,2024-25,LAC FT Made,LAC FT Made,545.0,2PT FG% +2%,98.8
LAC,2024-25,OPP FT Made,OPP FT Made,485.0,2PT FG% +2%,98.8
LAC,2024-25,LAC OREB,LAC 2pt Made,309.44,2PT FG% +2%,98.8
LAC,2024-25,OPP OREB,LAC DREB,258.0,2PT FG% +2%,98.8
LAC,2024-25,OPP OREB,OPP 2pt Made,237.0,2PT FG% +2%,98.8
LAC,2024-25,LAC OREB,OPP DREB,223.4,2PT FG% +2%,98.8
LAC,2024-25,OPP Offense Start,OPP DREB,170.0,2PT FG% +2%,98.8
LAC,2024-25,LAC Offense Start,LAC DREB,166.0,2PT FG% +2%,98.8
LAC,2024-25,LAC OREB,LAC OREB,108.16,2PT FG% +2%,98.8
LAC,2024-25,LAC FT Made,OPP DREB,104.0,2PT FG% +2%,98.8
LAC,2024-25,LAC OREB,LAC Turnover,103.0,2PT FG% +2%,98.8
LAC,2024-25,OPP FT Made,LAC DREB,100.0,2PT FG% +2%,98.8
LAC,2024-25,OPP OREB,OPP 3pt Made,98.0,2PT FG% +2%,98.8
LAC,2024-25,OPP OREB,OPP OREB,98.0,2PT FG% +2%,98.8
LAC,2024-25,OPP 2pt Made,OPP FT Made,82.0,2PT FG% +2%,98.8
LAC,2024-25,OPP OREB,OPP Turnover,82.0,2PT FG% +2%,98.8
LAC,2024-25,LAC OREB,LAC 3pt Made,79.0,2PT FG% +2%,98.8
LAC,2024-25,OPP Offense Start,LAC FT Made,71.0,2PT FG% +2%,98.8
LAC,2024-25,LAC 2pt Made,LAC FT Made,64.0,2PT FG% +2%,98.8
LAC,2024-25,LAC OREB,LAC FT Made,61.0,2PT FG% +2%,98.8
LAC,2024-25,OPP OREB,OPP FT Made,54.0,2PT FG% +2%,98.8
LAC,2024-25,LAC Offense Start,OPP FT Made,45.0,2PT FG% +2%,98.8
LAC,2024-25,OPP Offense Start,LAC 2pt Made,32.0,2PT FG% +2%,98.8
LAC,2024-25,OPP OREB,OPP DREB,29.0,2PT FG% +2%,98.8
LAC,2024-25,OPP 2pt Made,LAC DREB,28.0,2PT FG% +2%,98.8
LAC,2024-25,LAC OREB,LAC DREB,26.0,2PT FG% +2%,98.8
LAC,2024-25,LAC 2pt Made,OPP DREB,19.0,2PT FG% +2%,98.8
LAC,2024-25,LAC Offense Start,OPP 2pt Made,15.0,2PT FG% +2%,98.8
LAC,2024-25,OPP OREB,LAC 2pt Made,15.0,2PT FG% +2%,98.8
LAC,2024-25,LAC OREB,OPP 2pt Made,10.0,2PT FG% +2%,98.8
LAC,2024-25,LAC 3pt Made,LAC FT Made,9.0,2PT FG% +2%,98.8
LAC,2024-25,LAC FT Made,LAC 2pt Made,9.0,2PT FG% +2%,98.8
LAC,2024-25,OPP FT Made,OPP 2pt Made,7.0,2PT FG% +2%,98.8
LAC,2024-25,LAC FT Made,LAC OREB,6.0,2PT FG% +2%,98.8
LAC,2024-25,LAC Offense Start,OPP 3pt Made,6.0,2PT FG% +2%,98.8
LAC,2024-25,OPP Offense Start,LAC 3pt Made,6.0,2PT FG% +2%,98.8
LAC,2024-25,LAC OREB,OPP 3pt Made,5.0,2PT FG% +2%,98.8
LAC,2024-25,LAC Offense Start,OPP Turnover,5.0,2PT FG% +2%,98.8
LAC,2024-25,OPP OREB,LAC 3pt Made,5.0,2PT FG% +2%,98.8
LAC,2024-25,LAC FT Made,LAC 3pt Made,4.0,2PT FG% +2%,98.8
LAC,2024-25,OPP FT Made,OPP Turnover,4.0,2PT FG% +2%,98.8
LAC,2024-25,OPP OREB,LAC OREB,4.0,2PT FG% +2%,98.8
LAC,2024-25,OPP Offense Start,LAC Turnover,4.0,2PT FG% +2%,98.8
LAC,2024-25,LAC 3pt Made,OPP DREB,3.0,2PT FG% +2%,98.8
LAC,2024-25,LAC FT Made,LAC DREB,3.0,2PT FG% +2%,98.8
LAC,2024-25,OPP 3pt Made,OPP FT Made,3.0,2PT FG% +2%,98.8
LAC,2024-25,OPP FT Made,OPP OREB,3.0,2PT FG% +2%,98.8
LAC,2024-25,OPP OREB,LAC FT Made,3.0,2PT FG% +2%,98.8
