team,season,state,next_state,count,adjustment_type,poss_per_game
ATL,2024-25,ATL 3pt Made,ATL DREB,0.0,2PT FG% +5%,98.8
ATL,2024-25,ATL 3pt Made,ATL OREB,0.0,2PT FG% +5%,98.8
ATL,2024-25,ATL 3pt Made,ATL Offense Start,0.0,2PT FG% +5%,98.8
ATL,2024-25,ATL 3pt Made,ATL Turnover,0.0,2PT FG% +5%,98.8
ATL,2024-25,ATL 3pt Made,OPP 2pt Made,0.0,2PT FG% +5%,98.8
ATL,2024-25,ATL 3pt Made,OPP 3pt Made,0.0,2PT FG% +5%,98.8
ATL,2024-25,ATL 3pt Made,OPP FT Made,0.0,2PT FG% +5%,98.8
ATL,2024-25,ATL 3pt Made,OPP OREB,0.0,2PT FG% +5%,98.8
ATL,2024-25,ATL 3pt Made,OPP Turnover,0.0,2PT FG% +5%,98.8
ATL,2024-25,ATL DREB,ATL 2pt Made,0.0,2PT FG% +5%,98.8
ATL,2024-25,ATL DREB,ATL 3pt Made,0.0,2PT FG% +5%,98.8
ATL,2024-25,ATL DREB,ATL DREB,0.0,2PT FG% +5%,98.8
ATL,2024-25,ATL DREB,ATL FT Made,0.0,2PT FG% +5%,98.8
ATL,2024-25,ATL DREB,ATL OREB,0.0,2PT FG% +5%,98.8
ATL,2024-25,ATL DREB,ATL Turnover,0.0,2PT FG% +5%,98.8
ATL,2024-25,ATL DREB,OPP 2pt Made,0.0,2PT FG% +5%,98.8
ATL,2024-25,ATL DREB,OPP 3pt Made,0.0,2PT FG% +5%,98.8
ATL,2024-25,ATL DREB,OPP DREB,0.0,2PT FG% +5%,98.8
ATL,2024-25,ATL DREB,OPP FT Made,0.0,2PT FG% +5%,98.8
ATL,2024-25,ATL DREB,OPP OREB,0.0,2PT FG% +5%,98.8
ATL,2024-25,ATL DREB,OPP Offense Start,0.0,2PT FG% +5%,98.8
ATL,2024-25,ATL DREB,OPP Turnover,0.0,2PT FG% +5%,98.8
ATL,2024-25,ATL FT Made,ATL DREB,0.0,2PT FG% +5%,98.8
ATL,2024-25,ATL FT Made,ATL OREB,0.0,2PT FG% +5%,98.8
ATL,2024-25,ATL FT Made,ATL Offense Start,0.0,2PT FG% +5%,98.8
ATL,2024-25,ATL FT Made,OPP 3pt Made,0.0,2PT FG% +5%,98.8
ATL,2024-25,ATL OREB,ATL Offense Start,0.0,2PT FG% +5%,98.8
ATL,2024-25,ATL OREB,OPP OREB,0.0,2PT FG% +5%,98.8
ATL,2024-25,ATL OREB,OPP Offense Start,0.0,2PT FG% +5%,98.8
ATL,2024-25,ATL Offense Start,OPP Offense Start,0.0,2PT FG% +5%,98.8
ATL,2024-25,ATL Turnover,ATL 2pt Made,0.0,2PT FG% +5%,98.8
ATL,2024-25,ATL Turnover,ATL 3pt Made,0.0,2PT FG% +5%,98.8
ATL,2024-25,ATL Turnover,ATL DREB,0.0,2PT FG% +5%,98.8
ATL,2024-25,ATL Turnover,ATL FT Made,0.0,2PT FG% +5%,98.8
ATL,2024-25,ATL Turnover,ATL OREB,0.0,2PT FG% +5%,98.8
ATL,2024-25,ATL Turnover,ATL Offense Start,0.0,2PT FG% +5%,98.8
ATL,2024-25,ATL Turnover,ATL Turnover,0.0,2PT FG% +5%,98.8
ATL,2024-25,ATL Turnover,OPP 2pt Made,0.0,2PT FG% +5%,98.8
ATL,2024-25,ATL Turnover,OPP 3pt Made,0.0,2PT FG% +5%,98.8
ATL,2024-25,ATL Turnover,OPP DREB,0.0,2PT FG% +5%,98.8
ATL,2024-25,ATL Turnover,OPP FT Made,0.0,2PT FG% +5%,98.8
ATL,2024-25,ATL Turnover,OPP OREB,0.0,2PT FG% +5%,98.8
ATL,2024-25,ATL Turnover,OPP Turnover,0.0,2PT FG% +5%,98.8
